Cliente;Material;Tipo material;Texto breve de material;Nombre Fabricante;Numero Pieza de Fabricante;Centro área pl.nec.;Almacén;Caract.planif.nec.;Punto de pedido;Stock alm.máx.;Grupo de compras;Denominación GrpComp;Rubro;SubRubro;Unidad de peso;TIPO DOC;NRO. VA01/VA21;ESTADO ITEM;NRO. OC;FECHA RECEPCION;FECHA PICKING;FECHA CONTABILIZACION VL;FECHA ENTREGA ESPERADA;FECHA DE EMISION NECESIDAD;GRUPO DE COMPRA OC;NRO. SOLPED
00374 TERMINAL PUNTA COLORADA;1027855;ZSTO;KIT POLI-V AMAROK;;045903119+03G145276+038903315+03L903137 // S13625340243+F-551406.07+F-552285+950330;MR01;374;V1;1;2;C03;EQUIPOS;EQUIPOS;INSUMO;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1029327;ZSTO;CORREA MOTOR;;8PK1800;MR01;374;V1;2;2;C03;EQUIPOS;EQUIPOS;AUTOMOTOR;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1029358;ZSTO;CORREA MOTOR;;07W903137;MR01;374;V1;2;2;C03;EQUIPOS;CORREAS;?;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1029480;ZSTO;CORREA B-45;;B-45 DUNLOP;MR01;374;V1;2;2;C29;FILTROS/RESPUESTOS;CORREAS;CAMIONES REGADORES;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1029481;ZSTO;CORREA POLY V 4PK-1000;SKF;4PK1000 POLY V CONTINENTAL;MR01;374;V1;2;2;C29;FILTROS/RESPUESTOS;CORREAS;?;KG;ZPAN;1000095608;SIN TRATAMIENTO;;;;;16/10/2026;16/9/2026;;10160475
00374 TERMINAL PUNTA COLORADA;1029584;ZSTO;CORREA TRAPEZOIDAL;;T437052;MR01;374;V1;2;3;C29;FILTROS/RESPUESTOS;CORREAS;?;KG;ZPAN;1000094384;DESPACHADO;4500137834;14/9/2026;14/9/2026;16/9/2026;26/9/2026;26/8/2026;C29;10158594
00374 TERMINAL PUNTA COLORADA;1033628;ZSTO;FILTRO HIDRAULICO;;07993110 / SH 52308;MR01;374;V1;2;2;F07;FILTRO FLUIDO HIDR;FILTROS;COMP BOMAG BW 219 DH-5;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1034240;ZSSD;CHALECO GRAFA NARANJA C/REFLECTIVO T.XXL;;;MR01;374;RE;65;65;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;INDUMENTARIA;KG;ZPAN;1000095108;SIN TRATAMIENTO;;;;;15/9/2026;8/9/2026;;10159722
00374 TERMINAL PUNTA COLORADA;1034628;ZSTO;JUNTA DE BALANCINES;;3027433 // 119718-11310;MR01;374;V1;2;2;C29;FILTROS/RESPUESTOS;REPUESTOS;HIMOINSA LTA 8 V LED;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1034629;ZSTO;JUNTA TAPA PRINCIPAL;DBT S.A. //;3036097 // 119717-11331;MR01;374;V1;2;2;C29;FILTROS/RESPUESTOS;REPUESTOS;HIMOINSA LTA 8 V LED;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1035039;ZSTO;CORREA A/C;;04120-21748;MR01;374;V1;2;2;C03;EQUIPOS;CORREAS;?;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1035319;ZSSD;"ARCO SIERRA 12"" 300MM";;;MR01;374;RE;20;20;C27;FERRETERIA MR01;FERRETERIA;INSUMOS;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1036100;ZSTO;CONO FLEX. C/REFLECT. Y BASE CAUCHO 70CM;;NARANJA DE PVC FLEXIBLE CON MEMORIA-70CM;MR01;374;RE;160;160;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;SEÑALIZACION;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1041529;ZSCD;HOJA CALADORA P/BOSCHGST650 T111C;;;MR01;374;RE;30;30;C27;FERRETERIA MR01;FERRETERIA;INSUMOS;KG;ZPAN;1000093787;CUMPLIDO PARCIAL;4500136386;8/9/2026;8/9/2026;8/9/2026;14/9/2026;14/8/2026;C27;10157625
00374 TERMINAL PUNTA COLORADA;1041531;ZSCD;DISCO P SIERRA CIRCULAR D9PG 24 DIENTES;;;MR01;374;RE;25;25;C27;FERRETERIA MR01;FERRETERIA;INSUMOS;KG;ZPAN;1000095108;ADJUDICADO;4500138643;;;;15/9/2026;8/9/2026;C27;10159722
00374 TERMINAL PUNTA COLORADA;1041938;ZSCD;MAMELUCO GRAFA AZUL C/LOGO Y REFL. T.L;;;MR01;374;RE;8;8;C28;SEGURIDAD/ROPA/EPP;INDUMENTARIA;EPP;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1041939;ZSCD;MAMELUCO GRAFA AZUL C/LOGO Y REFL. T.XL;;;MR01;374;RE;11;11;C28;SEGURIDAD/ROPA/EPP;INDUMENTARIA;EPP;KG;ZPAN;1000093867;ADJUDICADO;4500136579;;;;18/9/2026;18/8/2026;374;10157733
00374 TERMINAL PUNTA COLORADA;1041940;ZSCD;MAMELUCO GRAFA AZUL C/LOGO Y REFL. T.XXL;;;MR01;374;RE;10;10;C28;SEGURIDAD/ROPA/EPP;INDUMENTARIA;EPP;KG;ZPAN;1000092675;ADJUDICADO;4500136579;;;;18/9/2026;28/7/2026;374;10155948
00374 TERMINAL PUNTA COLORADA;1042118;ZSTO;CORREA MOTOR TRACTOR JD 6405;;L111601 // 82310 8203 TRACTOR JD 6615 DT CON 3 PUNT;MR01;374;V1;2;2;C03;EQUIPOS;CORREAS;JD 6405;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1042512;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N37;;;MR01;374;RE;8;8;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1042513;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N38;;;MR01;374;RE;12;12;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1042514;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N40;;;MR01;374;RE;45;45;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1042515;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N41;;;MR01;374;RE;65;65;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1042516;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N42;;;MR01;374;RE;70;70;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1042517;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N43;;;MR01;374;RE;45;45;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;SIN PEDIDO;;;;;;;;;;
